met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
ksii_core4_deg4[l],"keratan sulfate II (core 4-linked), degradation product 4",2,,,FALSE,[l],ksii_core4_deg4,ksii_core4_deg4.l.,
cs_a_deg4[l],"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4",2,,,FALSE,[l],cs_a_deg4,cs_a_deg4.l.,
cs_b_deg1[l],"chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 1",2,,,FALSE,[l],cs_b_deg1,cs_b_deg1.l.,
cs_c_deg1[l],"chondroitin sulfate C (GalNAc6S-GlcA), degradation product 1",2,,,FALSE,[l],cs_c_deg1,cs_c_deg1.l.,
cs_c_deg4[l],"chondroitin sulfate C (GalNAc6S-GlcA), degradation product 4",2,,,FALSE,[l],cs_c_deg4,cs_c_deg4.l.,
cs_d_deg1[l],"chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 1",2,,,FALSE,[l],cs_d_deg1,cs_d_deg1.l.,
cs_d_deg5[l],"chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 5",2,,,FALSE,[l],cs_d_deg5,cs_d_deg5.l.,
cs_e_deg2[l],"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 2",2,,,FALSE,[l],cs_e_deg2,cs_e_deg2.l.,
cs_e_deg6[l],"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 6",2,,,FALSE,[l],cs_e_deg6,cs_e_deg6.l.,
nad[n],Nicotinamide adenine dinucleotide,2,C00003,HMDB00902,FALSE,[n],nad,nad.n.,HMDB0000902
Tn_antigen[l],Tn antigen,2,C04383,,FALSE,[l],Tn_antigen,Tn_antigen.l.,
na1[x],Sodium,2,C01330,HMDB00588,FALSE,[x],na1,na1.x.,HMDB0000588
udp[m],UDP,2,C00015,HMDB00295,FALSE,[m],udp,udp.m.,HMDB0000295
utp[m],UTP,2,C00075,HMDB00285,FALSE,[m],utp,utp.m.,HMDB0000285
nicrnt[n],Nicotinate D-ribonucleotide,2,C01185,HMDB01132,FALSE,[n],nicrnt,nicrnt.n.,HMDB0001132
nifedipine[c],nifedipine,2,C07266,,FALSE,[c],nifedipine,nifedipine.c.,
nmn[n],NMN,2,C00455,HMDB00229,FALSE,[n],nmn,nmn.n.,HMDB0000229
npthl[c],naphthalene,2,C00829,,FALSE,[c],npthl,npthl.c.,
nrpphrsf[c],Sulfate derivative of norepinephrine,2,,HMDB02062,FALSE,[c],nrpphrsf,nrpphrsf.c.,HMDB0002062
nrvnccrn[c],Nervonyl carnitine,2,,,FALSE,[c],nrvnccrn,nrvnccrn.c.,
nrvnccrn[m],Nervonyl carnitine,2,,,FALSE,[m],nrvnccrn,nrvnccrn.m.,
sT_antigen[g],sialyl-T antigen,2,,,FALSE,[g],sT_antigen,sT_antigen.g.,
dimp[c],2'-deoxyinosine 5'-phosphate(2-),2,C06196,HMDB06555,FALSE,[c],dimp,dimp.c.,HMDB0006555
uri[l],Uridine,2,C00299,HMDB00296,FALSE,[l],uri,uri.l.,HMDB0000296
ump[m],UMP,2,C00105,HMDB00288,FALSE,[m],ump,ump.m.,HMDB0000288
uri[m],Uridine,2,C00299,HMDB00296,FALSE,[m],uri,uri.m.,HMDB0000296
